Product,Business Location,Unit Purchase Price,Selling Price,Current stock,Product Type,Category,Brand,Tax,SKU
004 Gld Woofer,BEST PRICE SHOP,"KSh 7,400","KSh 7,800",0 pieces,Single,WOOFERS,GLD,,34444
004 Velmax,BEST PRICE SHOP,"KSh 2,800","KSh 3,300",0 pieces,Single,,,,17903
005 Amtec,BEST PRICE SHOP,"KSh 3,400","KSh 3,650",0 pieces,Single,,,,17779
007 Amtec Woofer,BEST PRICE SHOP,"KSh 3,300","KSh 3,550",0 pieces,Single,,,,17671
008 Amtec Woofer,BEST PRICE SHOP,"KSh 2,800","KSh 3,050",0 pieces,Single,,,,17669
011 Amtec,BEST PRICE SHOP,"KSh 2,300","KSh 2,550",0 pieces,Single,,,,17780
011 SmartOpus,BEST PRICE SHOP,"KSh 1,350","KSh 1,550",0 pieces,Single,,,,17366
017 Extension,BEST PRICE SHOP,KSh 0,KSh 130,0 pieces,Single,,,,17862
018 Extension,BEST PRICE SHOP,KSh 0,KSh 150,0 pieces,Single,,,,17863
019 Extesion',BEST PRICE SHOP,KSh 150,KSh 188,0 pieces,Single,,,,17864
026 Solar Chloride,BEST PRICE SHOP,"KSh 3,758","KSh 4,000",2 pieces,Single,SOLAR BATTERIES,CHLORIDE,,17636
026 Solar Powerstart,BEST PRICE SHOP,"KSh 2,994","KSh 3,700",-1 pieces,Single,BATTERYS,CHLORIDE,,17284
026 Solar Spark,BEST PRICE SHOP,"KSh 3,432","KSh 3,600",26 pieces,Single,BATTERYS,CHLORIDE,,27363
026Mf Powerlast,BEST PRICE SHOP,"KSh 3,663","KSh 3,850",8 pieces,Single,BATTERYS,CHLORIDE,,17486
0306 Kettle,BEST PRICE SHOP,KSh 750,KSh 850,65 pieces,Single,KETTLE,AILYONS,,29380
0318 Kettle,BEST PRICE SHOP,"KSh 1,600","KSh 1,700",9 pieces,Single,KETTLE,AILYONS,,29427
035 Spark,BEST PRICE SHOP,"KSh 4,693","KSh 4,900",3 pieces,Single,BATTERYS,CHLORIDE,,18506
045Mf Powerlast,BEST PRICE SHOP,"KSh 5,885","KSh 6,100",7 pieces,Single,BATTERYS,CHLORIDE,,17153
045Mf Spark,BEST PRICE SHOP,"KSh 5,506","KSh 5,700",5 pieces,Single,BATTERYS,CHLORIDE,,17285
045Mf Voltron,BEST PRICE SHOP,"KSh 4,976","KSh 5,200",6 pieces,Single,,,,17487
050 Powerstart Solar,BEST PRICE SHOP,"KSh 4,900","KSh 5,900",1 pieces,Single,BATTERYS,CHLORIDE,,16900
050 Solar Chloride,BEST PRICE SHOP,"KSh 5,478","KSh 5,700",0 pieces,Single,BATTERYS,CHLORIDE,,16899
050 Solar Spark,BEST PRICE SHOP,"KSh 4,950","KSh 5,600",20 pieces,Single,BATTERYS,CHLORIDE,,27362
050Mf Powerlast Solar,BEST PRICE SHOP,"KSh 5,819","KSh 6,100",2 pieces,Single,BATTERYS,CHLORIDE,,17485
075 Powerstart Solar,BEST PRICE SHOP,"KSh 6,795","KSh 7,000",0 pieces,Single,BATTERYS,CHLORIDE,,17286
075 Solar Chloride,BEST PRICE SHOP,"KSh 7,372","KSh 7,600",5 pieces,Single,BATTERYS,CHLORIDE,,17287
075 Solar Spark,BEST PRICE SHOP,"KSh 6,996","KSh 7,200",23 pieces,Single,BATTERYS,CHLORIDE,,30084
075 Sunrays Battery,BEST PRICE SHOP,"KSh 4,000","KSh 4,500",0 pieces,Single,,,,17594
075Mf Solar Powerlast,BEST PRICE SHOP,"KSh 7,924","KSh 8,200",1 pieces,Single,BATTERYS,CHLORIDE,,17110
1 Gang Gz001 Switch,BEST PRICE SHOP,KSh 50,KSh 60,0 pieces,Single,,,,18090
1.5 Metsic Wire,BEST PRICE SHOP,"KSh 2,500","KSh 2,800",48 pieces,Single,,,,17375
1.5 Tronic With Earth,BEST PRICE SHOP,"KSh 6,980","KSh 7,400",1 pieces,Single,,,,17929
1.5 Tronics Single,BEST PRICE SHOP,"KSh 2,320","KSh 2,500",5 pieces,Single,,,,17845
100 Luxus.,BEST PRICE SHOP,KSh 810,KSh 840,1 pieces,Single,FEATURE PHONES,LUXUS,,19186
100 Nokia Refab,BEST PRICE SHOP,KSh 600,KSh 650,0 pieces,Single,,,,18100
100 Smba,BEST PRICE SHOP,KSh 800,KSh 850,0 pieces,Single,FEATURE PHONES,SMBA,,25522
100 Solar Chloride,BEST PRICE SHOP,"KSh 10,765","KSh 11,100",5 pieces,Single,SOLARS,CHLORIDE,,17289
100 Sowhat,BEST PRICE SHOP,KSh 750,KSh 780,0 pieces,Single,FEATURE PHONES,SOWHAT,,24638
100 Tp Tell.,BEST PRICE SHOP,KSh 950,KSh 980,0 pieces,Single,,,,18148
100 Urbest,BEST PRICE SHOP,KSh 950,KSh 980,40 pieces,Single,FEATURE PHONES,URBEST,,25114
100+ Luxus,BEST PRICE SHOP,KSh 820,KSh 860,0 pieces,Single,FEATURE PHONES,LUXUS,,30338
1000 Luxus,BEST PRICE SHOP,KSh 950,KSh 980,12 pieces,Single,FEATURE PHONES,LUXUS,,27714
10000Mah,BEST PRICE SHOP,KSh 350,KSh 500,62 pieces,Single,,,,17047
100M Cable,BEST PRICE SHOP,KSh 0,"KSh 1,400",0 pieces,Single,,,,17412
100Mf Powerlast Solar,BEST PRICE SHOP,"KSh 11,834","KSh 12,100",2 pieces,Single,SOLAR BATTERIES,CHLORIDE,,17484
100Mf Powerstart Solar,BEST PRICE SHOP,"KSh 9,935","KSh 10,300",6 pieces,Single,BATTERYS,CHLORIDE,,17288
100Mf Solar Spark,BEST PRICE SHOP,"KSh 9,350","KSh 11,100",33 pieces,Single,BATTERYS,CHLORIDE,,27361
100W Floodlight Solarmax,BEST PRICE SHOP,"KSh 2,500","KSh 2,800",0 pieces,Single,FLOODLIGHT,SOLARMAX,,24268
100W Solar Street light Led,BEST PRICE SHOP,"KSh 4,500","KSh 5,000",3 pieces,Single,SOLARS,LED,,21760
100W Solarmax,BEST PRICE SHOP,"KSh 3,600","KSh 3,850",0 pieces,Single,SOLARS,SOLARMAX,,16901
100W Solinc Solar,BEST PRICE SHOP,"KSh 3,600","KSh 4,000",0 pieces,Single,SOLARS,CHLORIDE,,19422
100W Sunrays,BEST PRICE SHOP,"KSh 2,500","KSh 3,500",0 pieces,Single,,,,16934
100W Sunypex,BEST PRICE SHOP,"KSh 3,700","KSh 4,000",9 pieces,Single,,,,17676
101 Luxus,BEST PRICE SHOP,KSh 830,KSh 870,45 pieces,Single,FEATURE PHONES,LUXUS,,24208
101 Tp Tell,BEST PRICE SHOP,KSh 700,KSh 840,0 pieces,Single,FEATURE PHONES,TP TELL,,18143
101+ Luxus,BEST PRICE SHOP,KSh 830,KSh 870,8 pieces,Single,FEATURE PHONES,LUXUS,,27712
102 Luxus,BEST PRICE SHOP,KSh 810,KSh 850,7 pieces,Single,FEATURE PHONES,LUXUS,,27709
103 Luxus,BEST PRICE SHOP,KSh 810,KSh 850,36 pieces,Single,FEATURE PHONES,LUXUS,,24209
1031 Ailipu,BEST PRICE SHOP,"KSh 10,745","KSh 10,900",1 pieces,Single,,,,17536
104 Luxus,BEST PRICE SHOP,KSh 830,KSh 860,0 pieces,Single,FEATURE PHONES,LUXUS,,27711
105 Dual 2019.,BEST PRICE SHOP,"KSh 1,450","KSh 1,550",1 pieces,Single,,,,18434
105 Luxus,BEST PRICE SHOP,KSh 820,KSh 850,2 pieces,Single,FEATURE PHONES,LUXUS,,27710
105 Nokia African Edition,BEST PRICE SHOP,"KSh 1,550","KSh 1,600",5 pieces,Single,FEATURE PHONES,NOKIA,,18018
105 Nokia Double,BEST PRICE SHOP,"KSh 1,050","KSh 1,150",6 pieces,Single,FEATURE PHONES,NOKIA,,17009
105 Nokia Refab. Not for selling,BEST PRICE SHOP,KSh 620,KSh 650,1 pieces,Single,,,,18031
105 Oking Phone,BEST PRICE SHOP,KSh 920,KSh 950,0 pieces,Single,,,,17956
105 Single Nokia,BEST PRICE SHOP,"KSh 1,080","KSh 1,150",-1 pieces,Single,,,,18153
105 Sowhat,BEST PRICE SHOP,KSh 800,KSh 830,0 pieces,Single,FEATURE PHONES,SOWHAT,,24639
105 Taishen.,BEST PRICE SHOP,KSh 650,KSh 750,9 pieces,Single,FEATURE PHONES,TAISHEN,,18745
106 Nokia,BEST PRICE SHOP,"KSh 1,030","KSh 1,150",0 pieces,Single,,,,18067
106 Oking.,BEST PRICE SHOP,KSh 800,KSh 830,0 pieces,Single,FEATURE PHONES,OKING,,17957
106 Sowhat,BEST PRICE SHOP,KSh 800,KSh 830,0 pieces,Single,FEATURE PHONES,SOWHAT,,24640
10A {128+4} Redmi.,BEST PRICE SHOP,"KSh 15,580","KSh 15,800",0 pieces,Single,,TAGWOOD,,18211
10A Redmi{32+2} Redmi,BEST PRICE SHOP,"KSh 11,900","KSh 12,100",-1 pieces,Single,,,,18076
10A Redmi{64+3} Redmi,BEST PRICE SHOP,"KSh 13,300","KSh 13,600",0 pieces,Single,,,,18077
10A Solarpex Controller,BEST PRICE SHOP,KSh 450,KSh 600,188 pieces,Single,SOLARS,SOLARPEX,,17452
10Am Controler,BEST PRICE SHOP,KSh 500,KSh 600,-3 pieces,Single,,,,17591
10AMp Chloride,BEST PRICE SHOP,KSh 640,KSh 750,1 pieces,Single,,,,17481
10Amps Solarmax Cont Not for selling,BEST PRICE SHOP,KSh 500,KSh 600,0 pieces,Single,CONTROLERS,SOLARMAX,,16930
10W Solarmax SOLAR,BEST PRICE SHOP,KSh 550,KSh 650,2 pieces,Single,,,,17313
10W Songya,BEST PRICE SHOP,KSh 0,KSh 120,23 pieces,Single,,,,17646
1110 Nokia Refab.,BEST PRICE SHOP,KSh 600,KSh 650,9 pieces,Single,,,,18025
113 Amaya Radio,BEST PRICE SHOP,KSh 0,KSh 500,-3 pieces,Single,,,,17473
113 Max Sowhat,BEST PRICE SHOP,"KSh 5,250","KSh 5,450",3 pieces,Single,FEATURE PHONES,SOWHAT,,24636
114 Max Pro.,BEST PRICE SHOP,"KSh 5,200","KSh 5,400",5 pieces,Single,FEATURE PHONES,SOWHAT,,24444
11Di  Villaontel.,BEST PRICE SHOP,KSh 350,KSh 400,77 pieces,Single,PHONE BATTERIES,VILLAONTEL BATTERY,,18606
11Di Itel No 2,BEST PRICE SHOP,KSh 180,KSh 230,"1,026 pieces",Single,PHONE BATTERIES,ITEL,,21485
11Di Naked Battery,BEST PRICE SHOP,KSh 220,KSh 250,0 pieces,Single,,,,16935
11DI Original Battery,BEST PRICE SHOP,KSh 230,KSh 300,8 pieces,Single,,,,17352
